date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Yellow_cards_home,Yellow_cards_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away
27.01.2024,03:45,Cagliari,Torino,1:2,https://www.flashscore.co.uk/match/football/MsqO06kJ/#/match-summary,1.71,1.68,51%,49%,25,16,10,6,8,2,"74%,(273/369)","75%,(284/379)",2,4,,,9,7,6,3,0,6,18,13,25,19,12,12,4,9
03.03.2024,19:30,Verona,Sassuolo,1:0,https://www.flashscore.co.uk/match/football/04htW92I/#/match-summary,0.31,0.41,49%,51%,10,13,5,2,2,10,"73%,(230/317)","70%,(228/325)",4,2,,,3,2,2,9,1,2,12,24,19,35,23,10,2,4
22.10.2023,18:30,AS Roma,Monza,1:0,https://www.flashscore.co.uk/match/football/APrnqS5Q/#/match-summary,1.64,0.46,51%,49%,21,11,4,4,8,5,"86%,(379/441)","87%,(378/434)",2,4,0,1,6,5,11,2,3,2,13,15,19,9,11,11,4,3
27.08.2023,00:30,Monza,Empoli,2:0,https://www.flashscore.co.uk/match/football/0Ie8qJwl/#/match-summary,2.03,1.07,54%,46%,20,18,5,6,6,5,"85%,(410/482)","82%,(343/417)",1,2,,,9,8,6,4,2,1,9,15,28,20,14,7,6,3
08.01.2024,03:45,AS Roma,Atalanta,1:1,https://www.flashscore.co.uk/match/football/nuBIpfaL/#/match-summary,1.89,0.68,55%,45%,16,8,6,2,6,5,"81%,(386/478)","78%,(294/377)",1,6,,,6,4,4,2,2,1,13,17,24,12,14,14,1,5
08.10.2023,00:00,Juventus,Torino,2:0,https://www.flashscore.co.uk/match/football/EwaqP6Ef/#/match-summary,2.04,0.75,50%,50%,17,10,6,1,7,3,"82%,(348/425)","82%,(349/427)",1,1,,,4,7,7,2,2,0,8,12,13,22,10,8,1,4
25.02.2024,01:00,Salernitana,Monza,0:2,https://www.flashscore.co.uk/match/football/AsM0Xbse/#/match-summary,0.86,2.20,41%,59%,11,17,3,7,7,11,"87%,(314/361)","92%,(472/515)",2,2,,,4,7,4,3,0,2,13,6,14,16,6,13,5,3
17.09.2023,18:30,Cagliari,Udinese,0:0,https://www.flashscore.co.uk/match/football/OYmX8Z6a/#/match-summary,1.77,0.79,44%,56%,10,11,1,1,4,6,"77%,(276/357)","84%,(380/454)",2,1,1,0,7,9,2,1,3,1,12,15,29,11,12,11,1,1
21.08.2023,00:30,AS Roma,Salernitana,2:2,https://www.flashscore.co.uk/match/football/lbAYWufr/#/match-summary,1.84,0.14,60%,40%,13,3,3,2,9,1,"82%,(389/475)","73%,(240/328)",0,4,,,7,1,3,0,1,1,8,13,28,20,12,9,0,1
07.10.2023,00:30,Empoli,Udinese,0:0,https://www.flashscore.co.uk/match/football/xb55WlMK/#/match-summary,1.23,0.61,59%,41%,18,11,3,1,5,7,"77%,(337/438)","68%,(200/294)",1,2,,,8,7,7,3,3,0,15,14,35,23,11,15,1,3
29.02.2024,03:45,Inter,Atalanta,4:0,https://www.flashscore.co.uk/match/football/nPjB3850/#/match-summary,1.81,0.29,59%,41%,15,6,7,1,4,1,"90%,(529/588)","86%,(352/409)",2,6,,,4,4,4,1,2,2,16,12,16,14,10,15,1,3
24.10.2023,02:45,Fiorentina,Empoli,0:2,https://www.flashscore.co.uk/match/football/2auvolyE/#/match-summary,0.99,1.29,72%,28%,19,7,7,3,13,3,"87%,(512/589)","65%,(152/234)",1,3,,,7,2,5,2,2,5,22,15,29,19,13,17,1,7
06.11.2023,03:45,Fiorentina,Juventus,0:1,https://www.flashscore.co.uk/match/football/0E7PhxZi/#/match-summary,0.70,0.57,68%,32%,25,4,4,3,9,2,"84%,(448/533)","67%,(176/261)",1,3,,,11,0,10,1,1,4,25,13,24,17,12,21,2,4
26.02.2024,01:00,Lecce,Inter,0:4,https://www.flashscore.co.uk/match/football/EZtQw14R/#/match-summary,0.81,3.22,39%,61%,14,11,2,7,7,10,"83%,(293/353)","87%,(485/557)",1,2,,,9,3,3,1,3,5,10,14,7,16,13,6,3,2
10.03.2024,01:00,Bologna,Inter,0:1,https://www.flashscore.co.uk/match/football/veipVTHO/#/match-summary,0.68,0.82,60%,40%,19,5,3,4,7,2,"89%,(576/647)","82%,(362/441)",2,1,,,6,1,10,0,0,2,12,16,19,21,17,12,3,3
18.09.2023,00:00,Fiorentina,Atalanta,3:2,https://www.flashscore.co.uk/match/football/2Pny8gM5/#/match-summary,1.09,0.73,57%,43%,15,11,8,4,3,4,"84%,(423/505)","74%,(283/383)",1,2,,,4,4,3,3,0,2,16,8,27,27,8,14,2,5
26.11.2023,19:30,Cagliari,Monza,1:1,https://www.flashscore.co.uk/match/football/8ENxJYnc/#/match-summary,1.67,0.67,39%,61%,17,12,6,4,10,11,"78%,(243/312)","85%,(447/526)",1,2,,,7,2,4,6,1,2,17,11,10,13,10,15,3,5
19.05.2024,21:00,Udinese,Empoli,1:1,https://www.flashscore.co.uk/match/football/vF3Fo4Ke/#/match-summary,1.88,0.96,47%,53%,8,4,2,1,5,5,"72%,(225/312)","73%,(258/353)",1,7,0,1,5,2,1,1,1,3,20,11,25,20,14,18,0,1
24.12.2023,01:00,Inter,Lecce,2:0,https://www.flashscore.co.uk/match/football/vcEZFrfU/#/match-summary,2.80,1.16,68%,32%,20,11,8,5,16,2,"90%,(525/583)","80%,(218/273)",1,3,0,1,9,5,3,1,0,0,13,8,16,13,8,14,5,6
08.10.2023,02:45,Genoa,AC Milan,0:1,https://www.flashscore.co.uk/match/football/YTjyRSqr/#/match-summary,0.49,0.97,41%,59%,7,12,1,3,3,2,"82%,(308/376)","87%,(476/549)",3,5,1,1,2,4,4,5,0,3,17,10,11,17,10,13,2,1
09.03.2024,22:00,Cagliari,Salernitana,4:2,https://www.flashscore.co.uk/match/football/SApSgDfP/#/match-summary,3.34,1.08,29%,71%,12,12,7,5,5,4,"72%,(119/165)","87%,(317/364)",1,2,,,2,5,3,2,4,2,11,19,18,25,16,11,3,3
17.09.2023,00:00,Inter,AC Milan,5:1,https://www.flashscore.co.uk/match/football/QwM6hEMI/#/match-summary,2.29,0.86,40%,60%,15,9,8,2,5,0,,,2,2,,,3,4,4,3,2,2,15,18,16,12,16,13,1,3
05.05.2024,21:00,Empoli,Frosinone,0:0,https://www.flashscore.co.uk/match/football/bFGVm0pP/#/match-summary,0.36,1.38,47%,53%,7,17,1,5,3,8,"62%,(175/282)","69%,(225/326)",2,3,,,2,8,4,4,5,1,13,19,24,24,15,11,5,1
21.04.2024,21:00,Torino,Frosinone,0:0,https://www.flashscore.co.uk/match/football/neB6UjS6/#/match-summary,0.53,0.63,53%,47%,13,12,2,3,6,4,"80%,(329/411)","79%,(284/359)",2,2,,,9,6,2,3,2,2,18,13,12,13,10,17,3,2
03.03.2024,22:00,Empoli,Cagliari,0:1,https://www.flashscore.co.uk/match/football/KC3ifMl8/#/match-summary,1.19,0.53,56%,44%,16,8,3,4,9,2,"82%,(362/441)","76%,(281/368)",0,3,,,5,2,8,2,3,0,14,15,31,23,11,15,3,3
03.10.2023,02:45,Fiorentina,Cagliari,3:0,https://www.flashscore.co.uk/match/football/EehFLX72/#/match-summary,1.19,0.80,60%,40%,14,6,2,4,4,2,"89%,(529/594)","81%,(314/388)",1,1,,,5,2,7,0,1,2,10,9,19,12,10,10,4,0
23.10.2023,02:45,AC Milan,Juventus,0:1,https://www.flashscore.co.uk/match/football/G2qrp8jK/#/match-summary,0.35,1.18,52%,48%,7,14,1,4,6,3,"84%,(365/434)","86%,(356/412)",1,4,1,0,3,6,3,4,0,2,20,14,23,23,12,16,3,1
16.12.2023,22:00,Lecce,Frosinone,2:1,https://www.flashscore.co.uk/match/football/h6sJLnQh/#/match-summary,0.74,1.58,40%,60%,18,11,6,5,5,4,"71%,(220/310)","80%,(378/473)",1,4,,,10,4,2,2,5,0,10,10,11,19,8,14,4,4
21.04.2024,18:30,Sassuolo,Lecce,0:3,https://www.flashscore.co.uk/match/football/zL72VWC0/#/match-summary,0.52,2.13,56%,44%,10,14,3,8,9,4,"71%,(287/404)","68%,(230/338)",1,0,,,5,4,2,2,1,1,14,11,33,25,10,13,5,3
03.02.2024,22:00,Udinese,Monza,0:0,https://www.flashscore.co.uk/match/football/OnJuFdAT/#/match-summary,0.78,0.11,47%,53%,21,3,6,2,7,4,"84%,(355/423)","83%,(408/490)",3,2,,,8,1,7,0,1,0,12,12,26,12,12,13,2,6
09.10.2023,00:00,Cagliari,AS Roma,1:4,https://www.flashscore.co.uk/match/football/KMA0XU6E/#/match-summary,1.88,2.44,58%,42%,16,11,2,5,4,3,"84%,(391/467)","75%,(269/359)",2,3,,,10,2,4,4,1,1,11,16,20,15,15,13,1,1
08.04.2024,00:00,Verona,Genoa,1:2,https://www.flashscore.co.uk/match/football/8W8n4fE1/#/match-summary,1.30,1.84,61%,39%,12,11,3,5,5,3,"81%,(382/472)","72%,(221/307)",3,1,,,5,4,4,2,2,3,18,14,29,24,14,15,3,2
11.05.2024,02:45,Frosinone,Inter,0:5,https://www.flashscore.co.uk/match/football/rJMuqBbc/#/match-summary,1.35,1.82,41%,59%,17,14,8,5,8,4,"86%,(342/398)","89%,(513/576)",,,,,7,6,2,3,0,1,7,5,16,10,4,8,0,8
07.01.2024,03:45,Sassuolo,Fiorentina,1:0,https://www.flashscore.co.uk/match/football/WCnkuYMr/#/match-summary,0.87,1.13,33%,67%,7,9,1,3,1,8,"69%,(161/235)","83%,(382/460)",3,2,,,5,4,1,2,5,6,20,14,16,22,10,14,3,0
11.12.2023,01:00,Salernitana,Bologna,1:2,https://www.flashscore.co.uk/match/football/YPGm67Q5/#/match-summary,0.41,2.18,35%,65%,9,10,2,5,5,1,"79%,(270/341)","89%,(611/687)",7,2,,,3,3,4,2,0,2,17,21,12,20,20,15,3,1
10.12.2023,03:45,Inter,Udinese,4:0,https://www.flashscore.co.uk/match/football/4pPW9kRt/#/match-summary,3.33,0.69,74%,26%,17,11,8,1,6,1,"93%,(737/792)","82%,(225/274)",0,1,,,6,4,3,6,1,1,6,10,17,14,9,6,1,4
09.03.2024,03:45,Napoli,Torino,1:1,https://www.flashscore.co.uk/match/football/hbHJqTWH/#/match-summary,1.53,1.14,63%,37%,22,11,8,2,13,7,"86%,(449/522)","75%,(234/312)",2,2,,,9,6,5,3,3,0,13,11,28,13,9,13,1,7
22.08.2023,02:45,Bologna,AC Milan,0:2,https://www.flashscore.co.uk/match/football/84C5T6mj/#/match-summary,1.06,1.00,53%,47%,17,10,5,6,3,6,"88%,(480/545)","85%,(408/480)",2,2,,,7,2,5,2,2,2,6,12,13,13,10,4,4,5
05.11.2023,03:45,AC Milan,Udinese,0:1,https://www.flashscore.co.uk/match/football/YuLWjG34/#/match-summary,0.80,1.45,72%,28%,14,12,5,2,11,5,"90%,(492/546)","74%,(155/209)",1,2,,,6,6,3,4,1,4,18,13,24,13,13,14,1,5
28.08.2023,02:45,Napoli,Sassuolo,2:0,https://www.flashscore.co.uk/match/football/ELaCrwgf/#/match-summary,2.91,0.08,67%,33%,25,6,5,1,12,4,"91%,(593/652)","82%,(269/328)",0,1,0,1,12,3,8,2,4,0,7,9,12,6,9,10,1,3
28.01.2024,01:00,Juventus,Empoli,1:1,https://www.flashscore.co.uk/match/football/KWNyKTks/#/match-summary,0.73,0.62,39%,61%,9,16,3,5,6,7,"82%,(333/406)","89%,(567/637)",1,1,1,0,2,6,4,5,0,2,7,11,21,12,11,6,4,2
04.12.2023,01:00,Sassuolo,AS Roma,1:2,https://www.flashscore.co.uk/match/football/McL3A10f/#/match-summary,0.94,2.17,34%,66%,8,15,2,7,1,11,"79%,(248/314)","89%,(547/615)",4,1,1,0,4,3,2,5,0,2,16,9,12,14,10,11,5,1
19.05.2024,00:00,Lecce,Atalanta,0:2,https://www.flashscore.co.uk/match/football/hIVRf8c9/#/match-summary,1.21,1.71,44%,56%,11,19,3,9,2,5,"83%,(360/434)","87%,(479/552)",0,4,,,7,7,1,3,1,0,21,8,16,19,7,20,7,3
11.02.2024,22:00,Monza,Verona,0:0,https://www.flashscore.co.uk/match/football/O273UyAG/#/match-summary,0.68,0.57,55%,45%,11,10,1,1,5,2,"83%,(359/433)","78%,(281/360)",1,2,,,7,7,3,2,1,3,17,17,17,13,19,15,1,1
18.03.2024,01:00,AS Roma,Sassuolo,1:0,https://www.flashscore.co.uk/match/football/nLxgbSoB/#/match-summary,0.75,0.60,63%,37%,10,8,4,2,4,7,"90%,(552/613)","82%,(285/348)",2,1,,,3,2,3,4,3,0,10,16,13,13,11,10,2,3
21.01.2024,19:30,Frosinone,Cagliari,3:1,https://www.flashscore.co.uk/match/football/h2i74ljf/#/match-summary,2.18,0.61,60%,40%,17,9,7,4,8,4,"76%,(381/501)","66%,(213/323)",3,5,,,8,4,2,1,2,2,20,12,21,19,11,18,3,4
04.09.2023,00:30,Inter,Fiorentina,4:0,https://www.flashscore.co.uk/match/football/rilF2bpQ/#/match-summary,4.05,0.41,40%,60%,21,6,11,2,1,1,"82%,(285/349)","86%,(455/527)",1,1,,,8,1,2,3,0,1,11,13,15,21,13,12,2,7
04.05.2024,02:45,Torino,Bologna,0:0,https://www.flashscore.co.uk/match/football/rLDHvd7B/#/match-summary,0.59,0.15,47%,53%,8,5,1,1,2,4,"83%,(359/433)","82%,(411/501)",2,2,,,3,3,4,1,0,1,12,14,18,18,14,11,1,1
28.10.2023,21:00,Sassuolo,Bologna,1:1,https://www.flashscore.co.uk/match/football/lzv7zeJN/#/match-summary,0.84,0.97,41%,59%,17,9,6,5,6,2,"83%,(327/394)","88%,(523/594)",1,4,,,8,1,3,3,1,2,12,13,20,13,11,10,4,5
04.11.2023,03:45,Bologna,Lazio,1:0,https://www.flashscore.co.uk/match/football/KIUxVYto/#/match-summary,0.76,0.56,50%,50%,6,11,2,1,2,6,"85%,(457/537)","88%,(472/536)",2,5,,,2,4,2,6,0,0,8,12,30,22,12,8,1,1
05.11.2023,22:00,Cagliari,Genoa,2:1,https://www.flashscore.co.uk/match/football/MN8LgIJo/#/match-summary,0.65,1.21,40%,60%,12,8,4,2,1,1,"74%,(259/350)","78%,(405/519)",4,2,,,6,4,2,2,5,2,13,19,28,22,14,11,1,2
28.09.2023,00:30,Verona,Atalanta,0:1,https://www.flashscore.co.uk/match/football/4QAObA0k/#/match-summary,0.59,1.23,51%,49%,11,8,2,2,4,1,"68%,(281/413)","66%,(264/400)",2,3,,,6,5,3,1,1,3,22,11,24,22,10,25,1,2
04.09.2023,02:45,Lecce,Salernitana,2:0,https://www.flashscore.co.uk/match/football/0WzsbIhs/#/match-summary,1.72,0.98,45%,55%,20,11,6,4,6,5,"76%,(249/328)","80%,(317/396)",3,3,,,4,6,10,1,0,1,10,16,25,22,17,15,4,4
03.09.2023,02:45,Atalanta,Monza,3:0,https://www.flashscore.co.uk/match/football/4AhPuywD/#/match-summary,0.67,0.30,41%,59%,18,8,8,2,7,3,"85%,(364/428)","86%,(538/626)",0,3,,,5,5,5,1,4,1,10,15,15,22,11,9,2,5
02.12.2023,03:45,Monza,Juventus,1:2,https://www.flashscore.co.uk/match/football/EXHeCNVs/#/match-summary,0.83,2.96,66%,34%,16,18,1,7,7,3,"90%,(601/668)","84%,(294/350)",1,2,,,7,6,8,5,0,2,10,12,21,15,12,8,5,0
31.03.2024,03:45,Fiorentina,AC Milan,1:2,https://www.flashscore.co.uk/match/football/j7OIEmWi/#/match-summary,1.42,2.90,45%,55%,17,14,7,10,7,5,"78%,(282/362)","82%,(373/455)",2,3,,,2,4,8,0,1,5,17,9,16,14,8,12,8,6
16.03.2024,22:00,Udinese,Torino,0:2,https://www.flashscore.co.uk/match/football/KYz1d6GN/#/match-summary,0.44,0.85,43%,57%,12,12,1,5,3,4,"77%,(262/340)","84%,(381/454)",3,2,,,7,3,4,4,2,1,19,13,14,21,11,17,3,1
12.05.2024,21:00,Verona,Torino,1:2,https://www.flashscore.co.uk/match/football/4dkXYQzj/#/match-summary,1.12,0.48,43%,57%,13,6,5,2,7,4,"70%,(232/331)","80%,(364/455)",3,2,1,0,4,4,4,0,1,0,11,16,18,20,19,15,0,4
12.05.2024,02:45,AC Milan,Cagliari,5:1,https://www.flashscore.co.uk/match/football/YDb1vmDS/#/match-summary,3.30,1.42,66%,34%,17,13,10,7,6,3,"91%,(584/642)","81%,(257/317)",2,1,,,4,1,3,5,1,4,13,11,9,12,11,9,6,5
20.04.2024,02:45,Cagliari,Juventus,2:2,https://www.flashscore.co.uk/match/football/YioXFiDD/#/match-summary,2.15,0.67,26%,74%,9,11,4,3,4,3,"63%,(127/202)","86%,(499/580)",2,3,,,4,3,1,5,1,3,18,17,17,22,16,15,1,2
07.01.2024,19:30,Empoli,AC Milan,0:3,https://www.flashscore.co.uk/match/football/vPAOOCx2/#/match-summary,0.83,1.69,35%,65%,17,13,2,6,6,6,"86%,(276/321)","90%,(560/623)",1,2,,,5,4,10,3,0,0,13,8,20,24,9,13,3,2
26.11.2023,03:45,AC Milan,Fiorentina,1:0,https://www.flashscore.co.uk/match/football/xfFgFjnM/#/match-summary,1.66,1.84,42%,58%,9,20,6,4,3,11,"77%,(284/369)","82%,(412/502)",1,2,,,1,7,2,9,1,1,11,10,22,24,9,10,4,5
27.05.2024,00:00,Atalanta,Torino,3:0,https://www.flashscore.co.uk/match/football/pnP95PBR/#/match-summary,2.15,0.85,40%,60%,18,8,7,1,2,5,"83%,(306/369)","89%,(498/560)",1,1,,,8,5,3,2,1,3,12,19,19,20,18,10,1,4
27.05.2024,00:00,Napoli,Lecce,0:0,https://www.flashscore.co.uk/match/football/CYQ17osF/#/match-summary,1.59,0.41,67%,33%,24,10,5,0,4,1,"89%,(598/672)","73%,(241/330)",,,,,11,4,8,6,0,1,16,10,24,17,10,17,0,5
17.12.2023,19:30,AC Milan,Monza,3:0,https://www.flashscore.co.uk/match/football/nTtNK6ua/#/match-summary,2.27,1.58,45%,55%,17,21,9,4,4,5,"87%,(363/417)","92%,(471/512)",1,2,,,5,11,3,6,3,0,8,11,8,5,8,8,4,6
18.02.2024,01:00,Verona,Juventus,2:2,https://www.flashscore.co.uk/match/football/IJVRU5Ld/#/match-summary,0.58,1.39,44%,56%,14,18,9,4,5,4,"81%,(282/347)","84%,(393/466)",,,,,3,6,2,8,0,2,13,8,18,25,8,10,2,7
22.10.2023,21:00,Bologna,Frosinone,2:1,https://www.flashscore.co.uk/match/football/0f1eM4bD/#/match-summary,1.46,1.35,55%,45%,12,12,6,5,4,5,"83%,(391/473)","81%,(312/383)",2,2,0,1,5,6,1,1,1,1,13,9,19,20,10,14,4,4
06.04.2024,02:45,Salernitana,Sassuolo,2:2,https://www.flashscore.co.uk/match/football/nHKw6Gqk/#/match-summary,1.11,2.43,54%,46%,5,16,2,5,4,9,"80%,(397/495)","77%,(321/417)",4,3,,,2,5,1,6,1,3,16,11,15,14,10,13,3,0
19.09.2023,02:45,Verona,Bologna,0:0,https://www.flashscore.co.uk/match/football/UBlT9Fig/#/match-summary,0.45,0.80,39%,61%,9,11,1,4,3,4,"80%,(277/346)","88%,(479/544)",4,2,,,5,5,3,2,5,1,12,23,15,16,18,10,4,1
20.05.2024,02:45,AS Roma,Genoa,1:0,https://www.flashscore.co.uk/match/football/nHOzgnSL/#/match-summary,0.52,0.26,54%,46%,21,12,6,5,6,3,"87%,(399/459)","83%,(319/384)",3,0,1,0,8,3,7,4,0,2,9,7,9,12,10,10,5,5
25.02.2024,22:00,Cagliari,Napoli,1:1,https://www.flashscore.co.uk/match/football/pfk9sq52/#/match-summary,0.73,1.06,29%,71%,8,9,3,4,4,3,"55%,(122/220)","83%,(487/589)",4,1,,,4,5,1,0,4,2,14,16,26,23,12,12,3,2
29.01.2024,03:45,Fiorentina,Inter,0:1,https://www.flashscore.co.uk/match/football/zan5PkSJ/#/match-summary,0.74,0.28,58%,42%,14,8,4,4,7,6,"82%,(424/517)","79%,(299/378)",2,3,,,5,2,5,2,3,4,15,9,12,15,6,12,3,4
